area,name,tel,address,hp,type,hours,closed_days,comment,other,map,source_association,website
kyoto,CB Dance Art,09098776942,〒611-0043 京都府宇治市小倉西浦7803オグラステーションパーク4F,http://kenkenmino.wixsite.com/cbdanceart,社交ダンス教室/練習場・ホール/趣味・個人,月・火・水・土 12:00-20:00 金 18:00-21:00,木曜日・祝日・日曜日,,,,シャルだん,http://kenkenmino.wixsite.com/cbdanceart
tokyo,早坂ダンススタジオ,0422-46-1127,〒180-0003 東京武蔵野市吉祥寺南町２－６－１早坂ビル４Ｆ,http://hayasaka-dance-school.com/,社交ダンス教室,,,,可,,JDSF,http://hayasaka-dance-school.com/
tokyo,赤塚ダンススクール,03-3939-5854,〒175-0092 東京板橋区赤塚２－１－１２パンダビル２・５Ｆ,http://akatsukadance.web.fc2.com/,社交ダンス教室,,,,可,,JDSF,http://akatsukadance.web.fc2.com/
tokyo,大塚出ダンススクール,042-319-1583,〒183-0056 東京都府中市寿町1-3-10 1階,http://izurudance.com/,社交ダンス教室,,,ダンススクールJ,可,,JBDF,http://izurudance.com/
aichi,ナゴヤダンスワールド,052-232-3444,愛知県名古屋市中区大須2－10－45トウセン大須3F,http://www.nagoya-danceworld.com/index.html,社交ダンス教室,,,JBDF,可,,JBDF,https://nagoya-danceworld.com/
kanagawa,ダンススタジオ すまいる Smile,,〒212-0012 神奈川県川崎市幸区中幸町３－１３－１６フェリーチェ１F,http://www.dancestudiosmile.com/,社交ダンス教室/練習場・ホール,PM12:00～19:00 PM12:00～23:00,水曜日,,,,シャルだん,http://www.dancestudiosmile.com/
tokyo,すがや Dance アカデミー,090-9960-9237,東京都品川区西五反田8-4-15 グソンデル広小路5F,https://social-dance.jp/site/105000303/,社交ダンス教室,,,JBDF,可,,JBDF,https://social-dance.jp/site/105000303/
aichi,梅原ダンススクール,052-731-7533,〒466-0027　愛知県名古屋市昭和区阿由知通2-7,http://www.umehara-dance.com/index.html,社交ダンス教室,,,ダンススクールJ,可,,JBDF,http://www.umehara-dance.com/index.html
tokyo,西岡ダンススクール,03-3449-3997,東京都品川区東五反田5-28-11 クレール五反田3Ｆ,http://nishiokads.com/,社交ダンス教室,,,JBDF,可,,JBDF,http://nishiokads.com/
tokyo,自由が丘ソシアルダンスクラブ,03-5706-0678,東京都世田谷区奥沢6-31-18 ロカーサ自由が丘2F,https://www.j-sdc.com/,社交ダンス教室,,,JBDF,可,,JBDF,https://www.j-sdc.com/
tokyo,サカネダンススクール,03-3981-4357,東京都豊島区南池袋2-27-6 池袋第２佐々木ビル2F,https://sakaneds.com/,社交ダンス教室,,,JBDF,可,,JBDF,https://sakaneds.com/
tokyo,篠田忠ダンスカレッジ,03-3783-0081,東京都品川区武蔵小山4-4-7 コスモ武蔵小山ビル7F,http://www.shinodadc.net/,社交ダンス教室,,,JBDF,可,,JBDF,http://www.shinodadc.net/
tokyo,社交ダンスサークル初心者・初中級者レッスン｜東京メモリー,0120-64-3355,〒170-0013 東京都豊島区東池袋1-34-5 いちご東池袋ビル6F,http://www.5memory.com/club/dance,サークル・団体,平日 10:00～19:00 土日祝 10:00～15:00,水曜日,,,,シャルだん,http://www.5memory.com/club/dance
aichi,EGAWA DANCE SQUARE,052-363-1123,愛知県名古屋市中川区高畑3-43サンライズ久田2F,https://egawadance.hp4u.jp/,社交ダンス教室,,,JBDF,可,,JBDF,https://egawadance.hp4u.jp/
kanagawa,横浜ダンス学院,045-311-0253,〒220-0004 神奈川県横浜市西区北幸２－１０－５０北幸山田ビル６階,http://www.ydg.jp/,社交ダンス教室/練習場・ホール,12:00～16:00,フリーダンスは金曜日定休,,,,シャルだん,http://www.ydg.jp/
tokyo,千歳船橋 原田ダンススタジオ,03-3425-9252,〒156-0055 東京都世田谷区船橋1‐9‐24千歳船橋商店街会館3階,http://www.chitofuna-harada-dance.com,社交ダンス教室,【毎週】 火曜日 13:00～21:00 木曜日 13:00～17:00 土曜日 15:00～19:30 ※土曜日は開催場所が変わります。 詳細はお問合せください。 (経堂駅徒歩圏内),月曜、水曜、金曜、日曜,,,,シャルだん,http://www.chitofuna-harada-dance.com
kanagawa,ひできダンスアカデミー,045-212-2285,〒231-0014 神奈川県横浜市中区常盤町3-24-2彩鳳新館ビル4F,http://hidekidance.com,社交ダンス教室,平日12:00-21:00 土曜12:00-18:00,日・祝日,,,,シャルだん,http://hidekidance.com
tokyo,クヤダンスカレッジ,03-6261-5998,東京都千代田区神田神保町3-10-10 大行ビル3階,http://www.kuya.tokyo.jp/,社交ダンス教室,,,JBDF,可,,JBDF,http://kuya.social/
hyogo,ダンススタジオ ベアーレ,078-891-6637,兵庫県神戸市東灘区本庄町１－１６－１４サンフォレストビル３Ｆ,http://www.dance-bearle.com,社交ダンス教室,,,,可,,JDSF,http://www.dance-bearle.com
aichi,ソシアルダンススタジオイトウ,052-794-0510,〒463-0066　愛知県名古屋市守山区町南7-13,http://www.social-ito.com/,社交ダンス教室,,,ダンススクールJ,可,,JBDF,http://www.social-ito.com/
tokyo,DANCE GRAND Harajuku,03-6432-9434,〒151-0051 東京都渋谷区千駄ヶ谷2-3-7プールビルB1 B2,http://dance-grand.com/,社交ダンス教室/趣味・個人,平日9時〜22時 土曜日9時〜19時,日曜日・祝日,,,,シャルだん,http://dance-grand.com/
tokyo,LIBERA DANCE,03-3351-9298,〒160-0022 東京新宿区新宿２－７－１不二川ビル２０３,https://www.liberadance.com/,社交ダンス教室,,,,可,,JDSF,https://www.liberadance.com/
kanagawa,小野孝明ダンススクール,045-443-9362,〒244-0801 神奈川県横浜市戸塚区品濃町881-9 笠原ビル２階,http://www.koumei-emily-dance.net/,社交ダンス教室,月〜金12:00-21:00 祝・土 12:00-18:00,日曜,,,,シャルだん,http://www.koumei-emily-dance.net/
aichi,ロマンダンススクール,0566-99-5502,〒444-1154　愛知県安城市桜井町大役田38-1　岡田ビル4F,https://www.roman-dance.com/,社交ダンス教室,,,,可,,Let's dance,https://www.roman-dance.com/
kanagawa,Kohama Dance Plaza 平塚教室,0463-24-9811,〒254-0043 神奈川平塚市紅谷町2－15カマヤビル２F,http://www.kohama-dance.com/,社交ダンス教室,,,,可,,JDSF,http://www.kohama-dance.com/
kanagawa,矢吹淳次ダンススタジオ,046-276-8188,〒242-0006 神奈川県大和市南林間１－７－９西口第３ビル２・３Ｆ,http://yabuki-dance.com,社交ダンス教室,13:00～22:00,日曜日,,,,シャルだん,http://yabuki-dance.com
shizuoka,ダンススクール・ハヤシ 掛川教室,0537-56-8208,〒436-0056　静岡県掛川市中央1-22-1　オオハシビル3F,https://www.danceschoolhayashi.com/,社交ダンス教室,,,,可,,Let's dance,https://www.danceschoolhayashi.com/
aichi,ナゴヤダンスアカデミー大府校,0562-46-9239,〒474-0036 愛知県大府市月見町5丁目213,https://www.nagoyadance.com/,社交ダンス教室,,,ダンススクールJ,可,,JBDF,https://www.nagoyadance.com/
aichi,Arthur Murray(アーサーマレー) 大高ダンススクール,0561-89-6144,〒489-0045　愛知県瀬戸市陶本町1-31-8　マルセビル2階,https://www.dancenagoya.com/,社交ダンス教室,,,,可,,Let's dance,https://www.dancenagoya.com/
tokyo,増田ダンスアカデミー,03-5924-6702,東京都豊島区南大塚3-49-10 大塚鈴本ビル3F,https://masudadance.crayonsite.com/,社交ダンス教室,,,JBDF,可,,JBDF,https://masudadance.crayonsite.com/
aichi,Arthur Murray(アーサーマレー) 名古屋ダンススタジオ,052-301-0356,〒489-0045　愛知県瀬戸市陶本町1-31-8　マルセビル2階,https://www.dancenagoya.com/,社交ダンス教室,,,,可,,Let's dance,https://www.dancenagoya.com/
aichi,D-top's∼studio∼ 沢上ムライダンス教室,052-681-2339,〒456-0011 愛知県名古屋市熱田区花町1-1,http://www.d-tops.com/,社交ダンス教室,,,ダンススクールJ,可,,JBDF,http://www.d-tops.com/
kanagawa,生田ダンススポーツアカデミー,044-932-7053,〒214-0038 神奈川県川崎市多摩区生田7-9-3タスコハウス2F,http://ikuta-dance.com,社交ダンス教室,月曜日～土曜日 13:00～22:00 (時間外レッスン相談可),日曜日,,,,シャルだん,http://ikuta-dance.com
hiroshima,ダンスガーデンゴウダ,082-836-7811,〒730-0013 広島県広島市中区八丁堀6-10　アセンド八丁堀4F,http://dancegarden-goda.com/,社交ダンス教室,月～土10:00～21:00,日曜(相談に応じます),,,,シャルだん,http://dancegarden-goda.com/
tokyo,ソシアルダンススタジオナリタケ,03-6273-2653,東京都新宿区新宿5-6-1 新宿やわらぎビル10階,https://www.sdsnaritake.com/,社交ダンス教室,,,JBDF,可,,JBDF,https://www.sdsnaritake.com/
tokyo,白幡ダンススクール,03-5639-2660,東京都江東区清澄3-4-11 サイネックスビル4F,https://www.shirahatads.com/,社交ダンス教室,,,JBDF,可,,JBDF,https://www.shirahatads.com/
aichi,寺島ダンススクール,052-471-4882,〒453-0834　愛知県名古屋市中村区豊国通2丁目4天寿ビル3階,http://terashimadance.web.fc2.com/,社交ダンス教室,,,ページが移転しているが、引っ越し先が見つからない,可,,Let's dance,https://www.lets-dance.jp/products/detail.php?product_id=2507
aichi,ダンススタジオ アッシュ,052-717-5418,愛知県名古屋市中村区鳥居西通1-48 豊国ビル3F,https://dsh.crayonsite.com/,社交ダンス教室,,,JBDF,可,,JBDF,https://dsh.crayonsite.com/
tokyo,おやまダンススタジオ,03-5499-3308,東京都大田区上池台2-32-3 第2ミスズビル2Ｆ,https://oyamadance.com/,社交ダンス教室,,,JBDF,可,,JBDF,https://oyamadance.com/
osaka,DoA Studio,06-6789-9045,大阪府東大阪市長堂１－５－6　布施駅前セントラルビル6Ｆ,http://doa-studio.com/,社交ダンス教室,,,,可,,JDSF,https://doauehara.wixsite.com/doastudio-1
tokyo,石原ダンスクラブ,03-3357-6383,東京都新宿区四谷２-８ コーポクローバ瀬尾２０１,http://ishiharadance.jp/,社交ダンス教室,,,JBDF,可,,JBDF,http://ishiharadance.jp/
aichi,DANCE道場塚本,052-228-0515,愛知県名古屋市中区丸の内3-9-14林敬ビル２階,http://dance-d-t.jp/index.html#top,社交ダンス教室,,,JBDF,可,,JBDF,http://dance-d-t.jp/index.html#top
tokyo,オオムラアツキダンススタジオ,03-3582-0491,東京都港区東麻布3-5-12 麻布CCビルB1F,http://ohmuradance.school-info.jp/,社交ダンス教室,,,JBDF,可,,JBDF,http://ohmuradance.school-info.jp/
tokyo,アオトダンススクール,03-6805-8870,東京都葛飾区青戸3-38-4 青戸郵便局ビル2F,https://www.katsushika-jikan.com/request/area/owners_profile_d/687/,社交ダンス教室,,,JBDF,可,,JBDF,https://www.katsushika-jikan.com/request/area/owners_profile_d/687/
aichi,ダンススタジオヒフコ,052-451-1237,愛知県名古屋市中村区太閣4-9-26木村ビル4F,http://dance-studio-ligare.com/,社交ダンス教室,,,JBDF,可,,JBDF,http://dance-studio-ligare.com/
tokyo,鈴木美代子ダンスアカデミー,03-3695-0873,東京都葛飾区西新小岩1-2-11 喜久屋ビル4Ｆ,https://ok11.zeiookura.com/,社交ダンス教室,,,JBDF,可,,JBDF,https://ok11.zeiookura.com/
tokyo,岩倉ダンススクール,03-6277-6146,〒107-0052 東京都港区3-8-15THE AKASAKA5F,http://www.iwakuradance.com,社交ダンス教室,月〜金 13:00〜22:00 土 13:00〜19:00,日・祝祭日,,,,シャルだん,http://www.iwakuradance.com
tokyo,ウスイダンススクール,03-6205-9542,東京都新宿区馬場下町6-1 ビューロタカハシ4F,https://usui-dance.com/,社交ダンス教室,,,JBDF,可,,JBDF,https://usui-dance.com/
tokyo,嶺岸ソシアルダンスカンパニー,03-5377-3355,東京都杉並区和田3-59-10 C.T.ビル4F,http://www.minegishi.info/index.html,社交ダンス教室,,,JBDF,可,,JBDF,https://www.lets-dance.jp/products/detail.php?product_id=159
tokyo,江東ソシアルダンススクール,03-5836-6715,〒136-0071 東京都江東区亀戸2-24-3-202グランズ亀戸,http://kohtoh.web.fc2.com/,社交ダンス教室,月～金 13:00～22:00 土 13:00～19:00 時間外・出張レッスン承ります!,日曜日,,,,シャルだん,http://kohtoh.web.fc2.com/
saitama,春日部ＡＫＩダンスアカデミー 社交ダンス 岩槻 越谷 千間台 久喜 白岡 杉戸 幸手 栗橋 野田市 松伏町,048-738-6989,〒344-0067 埼玉県春日部市中央１－４３－９富久春日部ビル６Ｆ,http://akidance.com/,社交ダンス教室,営業時間:平日13:00～22:00、土曜日13:00～19:00,日曜,,,,シャルだん,http://akidance.com/
tokyo,ダンス ZONE ムラカミ,03-3419-3267,東京都世田谷区駒沢1-17-17 真成ビル6F,http://www.dancezone-m.com/,社交ダンス教室,,,JBDF,可,,JBDF,http://www.dancezone-m.com/
tokyo,深川ダンススクール,03-3273-6711,東京都中央区日本橋室町1-6-1 真洋ビル8F,http://fkgwds.com/,社交ダンス教室,,,JBDF,可,,JBDF,http://fkgwds.com/
osaka,サザンフォレストダンススタジオ,06-4709-0777,大阪府大阪市中央区備後町4-3-4大阪タイガービル3F,https://southernforest2010.wixsite.com/-site-1,社交ダンス教室,,,,可,,JDSF,https://southernforest2010.wixsite.com/-site-1
kanagawa,ヤマモトダンスアカデミー,045-651-7997,〒231-0062 神奈川県横浜市中区桜木町３－７－２大塚ビル２Ｆ,http://www.y-dance-a.com/,社交ダンス教室,月曜日～金曜日 12:00～21:00 土曜日 12:00～18:00,日曜日・祝日,,,,シャルだん,http://www.y-dance-a.com/
mie,イトウダンススクール,059-225-3015,〒514-0014　三重県津市港町11-10スター技研ビル2F,https://www.social-ito.com/,社交ダンス教室,,,,可,,Let's dance,https://www.social-ito.com/
fukuoka,スタジオ ル・レーヴ,092-404-2121,〒814-0003 福岡県福岡市早良区城西1丁目７－１２,https://fpt-salon.wixsite.com/1234,社交ダンス教室,,,,可,,JDSF,https://fpt-salon.wixsite.com/1234
aichi,ロマン・ダンススクール,0566-99-5502,愛知県安城市桜井町大役田38-1岡田ビル 4F,https://www.roman-dance.com/,社交ダンス教室,,,JBDF,可,,JBDF,https://www.roman-dance.com/
kanagawa,ミハシダンススクール,,〒254-0807 神奈川県平塚市代官町5-8　新堀ギタービル2F,http://www.mihashi-dance.com/,社交ダンス教室,午後12時～午後9時,日曜日・祭日,,,,シャルだん,http://www.mihashi-dance.com/
tokyo,タカマツ ダンススクール,03-3793-7708,東京都渋谷区恵比寿西1-7-13 日基ビル5F,https://takamatsudance.com/,社交ダンス教室,,,JBDF,可,,JBDF,https://takamatsudance.com/
tokyo,ダンスルーム伊藤,042-335-2630,東京都府中市府中町1-25-12 ゼルコバ5F,https://dance-room-ito.tokyo/,社交ダンス教室,,,JBDF,可,,JBDF,https://dance-room-ito.tokyo/
aichi,アオヤマダンスアートアカデミー,0586-44-5034,愛知県一宮市大和町苅安賀字上東出４４－２-２階,http://www.dance-aoyama.com/,社交ダンス教室,,,JBDF,可,,JBDF,http://www.dance-aoyama.com/
tokyo,ダンススタジオミナミ,03-3879-3601,〒120-0034 東京足立区千住2－21ミナミビル２Ｆ,http://www.dancestudio_minami.com,社交ダンス教室,,,,可,,JDSF,https://jp.stanby.com/search?l=%E8%B6%B3%E7%AB%8B%E5%8C%BA%E5%8D%83%E4%BD%8F%E6%A1%9C%E6%9C%A8&q=%E3%83%80%E3%83%B3%E3%82%B9%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%AA%E3%83%9F%E3%83%8A%E3%83%9F+120-0034+%E3%83%9F%E3%83%8A%E3%83%9F%E3%83%93%E3%83%AB2f+%E7%A4%BE%E4%BA%A4%E3%83%80%E3%83%B3%E3%82%B9&sr_fr=job_dd&utm_source=yahoosearch&utm_medium=shortcut&utm_campaign=yj_jobquery_st
tokyo,ファミリアダンススポーツクラブ,042-580-6272,〒186-0002 東京国立市東1-6-28志田ビル４F,http://www.dance-familiar.com,社交ダンス教室,,,,可,,JDSF,http://www.dance-familiar.com
aichi,ドリームダンススタジオ,052-773-3558,〒465-0021 愛知県名古屋市名東区猪子石２－２０４,http://www.dds-dream.net,社交ダンス教室,,,,可,,JDSF,http://www.dds-dream.net
hokkaido,旭川ダンスショップShall we Dance,0166-85-7782,〒070-0032 北海道旭川市２条通６丁目６６－１２HRビル１階,http://www.shallwedance.club,社交ダンスショップ,AM 11:00~PM 8:30,日曜日・祝日,,,,シャルだん,http://www.shallwedance.club
tokyo,DANCE navigation MEGURO,03-6417-0770,東京都目黒区下目黒1-2-21 泰山堂ビル7F,http://www.dancenavi.info/,社交ダンス教室,,,JBDF,可,,JBDF,http://www.dancenavi.info/
tokyo,石原ヒサシダンススクール,03-3235-5311,東京都新宿区市谷田町１-２ ランゴスタビル３Ｆ,https://ishiharadance.com/,社交ダンス教室,,,JBDF,可,,JBDF,https://ishiharadance.com/
